data,abertura,maxima,minima,fechamento,volume
2021-01-04,119024.0,120354.0,118062.0,118558.0,8741400
2021-01-05,118835.0,119790.0,116756.0,119223.0,9257100
2021-01-06,119377.0,120924.0,118917.0,119851.0,11638200
2021-01-07,119103.0,121983.0,119101.0,121956.0,11774800
2021-01-08,122387.0,125324.0,122386.0,125077.0,11085800
2021-01-11,125075.0,125075.0,122506.0,122807.0,9537600
2021-01-12,123255.0,124584.0,123227.0,123998.0,8949000
2021-01-13,123996.0,124032.0,121016.0,122040.0,10291500
2021-01-14,121947.0,123896.0,121947.0,123481.0,8974400
2021-01-15,123472.0,123472.0,120374.0,120502.0,9387600
2021-01-18,120351.0,122586.0,120351.0,121242.0,7223100
2021-01-19,121250.0,122120.0,119257.0,120673.0,7886000
2021-01-20,120645.0,121449.0,118740.0,119708.0,7947300
2021-01-21,119628.0,120243.0,117785.0,118443.0,8573900
2021-01-22,118318.0,118318.0,116109.0,117172.0,9373100
2021-01-26,117381.0,119167.0,116109.0,116464.0,10681400
2021-01-27,116463.0,117840.0,114887.0,115882.0,12380400
2021-01-28,115882.0,119314.0,115734.0,119314.0,12065900
2021-01-29,118880.0,118880.0,115299.0,116007.0,10965200
2021-02-01,115093.0,117862.0,115093.0,117365.0,8716500
2021-02-02,117520.0,119805.0,117519.0,118234.0,11625900
2021-02-03,118235.0,120210.0,118234.0,119725.0,8704300
2021-02-04,119728.0,120560.0,118918.0,119261.0,8100700
2021-02-05,119261.0,121117.0,119261.0,119925.0,8208400
2021-02-08,120239.0,120844.0,119140.0,119516.0,8619100
2021-02-09,119696.0,119975.0,118246.0,119429.0,7913500
2021-02-10,119472.0,119738.0,117970.0,118430.0,8644600
2021-02-11,118440.0,120283.0,118440.0,119235.0,7567400
2021-02-12,119300.0,119763.0,118163.0,119116.0,7655900
2021-02-17,119421.0,120573.0,118880.0,120391.0,8326100
2021-02-18,120361.0,120845.0,118515.0,119140.0,10720600
2021-02-19,119199.0,119250.0,117867.0,118748.0,10402800
2021-02-22,118388.0,118388.0,111650.0,112668.0,21768700
2021-02-23,112676.0,115380.0,112667.0,115227.0,15174900
2021-02-24,115229.0,116208.0,114668.0,115668.0,11399300
2021-02-25,115668.0,116506.0,111764.0,112256.0,12466500
2021-02-26,112260.0,113466.0,109827.0,110035.0,14618500
2021-03-01,110036.0,112445.0,110036.0,110335.0,11239900
2021-03-02,110328.0,112428.0,107319.0,111540.0,14823200
2021-03-03,111529.0,112398.0,107466.0,111184.0,15144300
2021-03-04,111191.0,114433.0,111163.0,112690.0,14221600
2021-03-05,112690.0,115504.0,112504.0,115202.0,13254800
2021-03-08,115202.0,115202.0,110268.0,110612.0,0
2021-03-09,110611.0,112525.0,109343.0,111331.0,12135300
2021-03-10,111331.0,112928.0,109999.0,112776.0,12511800
2021-03-11,112782.0,115127.0,112776.0,114984.0,12092100
2021-03-12,114984.0,114984.0,113253.0,114160.0,8110700
2021-03-15,114093.0,114903.0,113635.0,114851.0,8224700
2021-03-16,114845.0,114974.0,113370.0,114019.0,78000
2021-03-17,114018.0,116736.0,113428.0,116549.0,94300
2021-03-18,116549.0,116751.0,114302.0,114835.0,9920100
2021-03-19,114837.0,116446.0,114610.0,116222.0,12341800
2021-03-22,116222.0,116225.0,113620.0,114979.0,8160600
2021-03-23,114977.0,115599.0,113062.0,113262.0,8301500
2021-03-24,113272.0,114823.0,112064.0,112064.0,9834000
2021-03-25,112065.0,114024.0,110927.0,113750.0,10306500
2021-03-26,113750.0,115416.0,113305.0,114781.0,8659500
2021-03-29,114776.0,115553.0,114096.0,115419.0,7463300
2021-03-30,115414.0,117090.0,114999.0,116850.0,8141600
2021-03-31,116850.0,117249.0,115932.0,116634.0,10659200
2021-04-01,116644.0,117088.0,114991.0,115253.0,8009200
2021-04-05,115262.0,117668.0,115262.0,117518.0,7245100
2021-04-06,117519.0,118213.0,117176.0,117499.0,6800800
2021-04-07,117499.0,118303.0,116748.0,117624.0,0
2021-04-08,117624.0,118850.0,117486.0,118313.0,8778200
2021-04-09,118313.0,118643.0,117336.0,117670.0,7739400
2021-04-12,117661.0,118812.0,117661.0,118812.0,7000500
2021-04-13,118809.0,119529.0,118041.0,119297.0,8977600
2021-04-14,119298.0,120871.0,119298.0,120295.0,10076600
2021-04-15,120290.0,121409.0,120084.0,120701.0,7948100
2021-04-16,120701.0,121333.0,120199.0,121114.0,7945600
2021-04-19,121116.0,121974.0,120682.0,120934.0,10028100
2021-04-20,120925.0,121354.0,119841.0,120062.0,7811500
2021-04-22,120064.0,120995.0,119203.0,119371.0,8598600
2021-04-23,119372.0,120815.0,119372.0,120530.0,7615500
2021-04-26,120534.0,121393.0,119860.0,120595.0,7095300
2021-04-27,120595.0,121012.0,119003.0,119388.0,8362300
2021-04-28,119392.0,121276.0,119392.0,121053.0,9081500
2021-04-29,121053.0,121498.0,119703.0,120066.0,8500200
2021-04-30,120064.0,120125.0,118894.0,118894.0,11093200
2021-05-03,118951.0,119904.0,118528.0,119209.0,8888300
2021-05-04,119209.0,119293.0,117631.0,117712.0,8765500
2021-05-05,117725.0,119734.0,117725.0,119564.0,9059100
2021-05-06,119577.0,119966.0,119071.0,119921.0,8779600
2021-05-07,119922.0,122038.0,119922.0,122038.0,8865100
2021-05-10,122038.0,122772.0,121795.0,121909.0,8219100
2021-05-11,121904.0,122964.0,120145.0,122964.0,7988600
2021-05-12,122964.0,122964.0,119458.0,119710.0,9405200
2021-05-13,119711.0,121426.0,119711.0,120706.0,9356200
